factor,ic_mean,ic_std,ir,hit_rate,ic_20d,n_days,selected
mom_42d,0.03645,0.19116,0.191,0.6163,0.0607,86,True
mom_126d,0.02997,0.21083,0.142,0.6,0.0619,75,True
mom_63d,0.02245,0.20866,0.108,0.593,0.0435,86,True
rs_bench_63d,0.02245,0.20866,0.108,0.593,0.0435,86,True
ram_63d,0.01995,0.20266,0.098,0.5814,0.039,86,True
mom_21d,0.01256,0.16904,0.074,0.5581,0.0253,86,True
rs_bench_21d,0.01256,0.16904,0.074,0.5581,0.0253,86,True
rsi2_cs,0.01245,0.15503,0.08,0.5116,0.0026,86,True
vol_5_63,0.01192,0.10761,0.111,0.5349,0.0025,86,True
rev_5d,0.01021,0.16471,0.062,0.5,0.0217,86,True
ram_21d,0.00848,0.15264,0.056,0.5581,0.0228,86,False
vol_21_63,0.00728,0.10916,0.067,0.5465,0.007,86,False
vol_5_21,0.00653,0.10449,0.063,0.5,-0.0009,86,False
rev_2d,0.00443,0.17022,0.026,0.5116,-0.0149,86,False
obv_21d,0.00396,0.11369,0.035,0.5698,0.0185,86,False
rev_10d,0.00135,0.17722,0.008,0.5116,-0.0197,86,False
mom_10d,-0.00135,0.17722,-0.008,0.4884,0.0197,86,False
macd_hist,-0.00308,0.17566,-0.018,0.4884,0.0059,86,False
dist_20d,-0.00878,0.17148,-0.051,0.4535,-0.0257,86,False
mom_5d,-0.01021,0.16471,-0.062,0.5,-0.0217,86,False
finra_5d,-0.01108,0.06835,-0.162,0.6,-0.0111,10,False
rsi14_cs,-0.01242,0.16016,-0.078,0.407,-0.0281,86,False
rev_21d,-0.01256,0.16904,-0.074,0.4419,-0.0253,86,False
obv_5d,-0.01721,0.12473,-0.138,0.4884,-0.0262,86,False
vol_5d_low,-0.0177,0.15785,-0.112,0.407,-0.0114,86,False
finra_21d,-0.02568,0.07832,-0.328,0.4,-0.0257,10,False
dist_50d,-0.02784,0.18255,-0.152,0.4186,-0.0455,86,False
atr_low,-0.02875,0.22161,-0.13,0.4535,-0.011,86,False
vol_21d_low,-0.03032,0.20716,-0.146,0.4535,-0.0133,86,False
vol_10d_low,-0.03246,0.18518,-0.175,0.3953,-0.0213,86,False
dist_200d,-0.03395,0.21213,-0.16,0.407,-0.0637,86,False
vol_63d_low,-0.03776,0.23259,-0.162,0.4535,-0.0114,86,False
