Date,BTC-EUR,EMXC.DE,IS3Q.DE,PPFB.DE,URNU.DE,VVSM.DE,XNAS.DE,^VIX,^TNX,^IRX,HYG,LQD
2015-01-01,314.2489929199219,30.35504913330078,52.60922622680664,114.08000183105469,16.09950828552246,24.292724609375,94.66505432128906,17.790000915527344,2.122999906539917,0.014999999664723873,49.30314254760742,81.02708435058594
2015-01-02,315.0320129394531,30.35504913330078,52.60922622680664,114.08000183105469,16.09950828552246,24.292724609375,94.66505432128906,17.790000915527344,2.122999906539917,0.014999999664723873,49.30314254760742,81.02708435058594
2015-01-03,281.0820007324219,30.35504913330078,52.60922622680664,114.08000183105469,16.09950828552246,24.292724609375,94.66505432128906,17.790000915527344,2.122999906539917,0.014999999664723873,49.30314254760742,81.02708435058594
2015-01-04,264.19500732421875,30.35504913330078,52.60922622680664,114.08000183105469,16.09950828552246,24.292724609375,94.66505432128906,17.790000915527344,2.122999906539917,0.014999999664723873,49.30314254760742,81.02708435058594
2015-01-05,274.4739990234375,29.814807891845703,51.81467819213867,115.80000305175781,15.592439651489258,23.860280990600586,93.27642059326172,19.920000076293945,2.0390000343322754,0.003000000026077032,48.846439361572266,81.35839080810547
2015-01-06,286.1889953613281,29.68954086303711,51.36669158935547,117.12000274658203,15.691039085388184,23.298547744750977,92.0257797241211,21.1200008392334,1.9630000591278076,0.019999999552965164,48.65935134887695,81.68972778320312
2015-01-07,294.3370056152344,30.331567764282227,51.949913024902344,116.43000030517578,15.817805290222168,23.60170555114746,93.21208953857422,19.309999465942383,1.9539999961853027,0.019999999552965164,48.96197509765625,81.79790496826172
2015-01-08,283.3489990234375,30.848316192626953,52.92196273803711,115.94000244140625,15.902318954467773,24.190181732177734,94.99610137939453,17.010000228881836,2.0160000324249268,0.017999999225139618,49.3306884765625,81.53423309326172
2015-01-09,290.4079895019531,30.746522903442383,52.46552658081055,117.26000213623047,15.733291625976562,24.11885643005371,94.37076568603516,17.549999237060547,1.9709999561309814,0.014999999664723873,49.57830047607422,81.75057983398438
2015-01-10,274.7959899902344,30.746522903442383,52.46552658081055,117.26000213623047,15.733291625976562,24.11885643005371,94.37076568603516,17.549999237060547,1.9709999561309814,0.014999999664723873,49.57830047607422,81.75057983398438
2015-01-11,265.6600036621094,30.746522903442383,52.46552658081055,117.26000213623047,15.733291625976562,24.11885643005371,94.37076568603516,17.549999237060547,1.9709999561309814,0.014999999664723873,49.57830047607422,81.75057983398438
2015-01-12,267.7959899902344,30.495969772338867,52.034454345703125,118.55999755859375,15.57835578918457,23.811237335205078,93.38678741455078,19.600000381469727,1.9119999408721924,0.013000000268220901,49.51774597167969,81.90614318847656
2015-01-13,225.86099243164062,30.762178421020508,51.8907470703125,118.16000366210938,15.113537788391113,23.677492141723633,93.35919952392578,20.559999465942383,1.8899999856948853,0.023000000044703484,49.51774597167969,81.98049926757812
2015-01-14,178.10299682617188,30.589941024780273,51.687889099121094,117.97000122070312,14.521956443786621,23.588329315185547,92.84423065185547,21.479999542236328,1.8370000123977661,0.02500000037252903,49.40216827392578,82.12249755859375
2015-01-15,209.843994140625,30.660409927368164,51.20608901977539,120.94000244140625,14.648720741271973,23.71761703491211,91.6395492553711,22.389999389648438,1.774999976158142,0.023000000044703484,49.09956359863281,82.54850006103516
2015-01-16,208.0970001220703,30.918779373168945,51.89919662475586,122.5199966430664,14.958598136901855,23.909320831298828,92.71546173095703,20.950000762939453,1.815000057220459,0.017999999225139618,49.286651611328125,82.0886459350586
2015-01-17,199.25999450683594,30.918779373168945,51.89919662475586,122.5199966430664,14.958598136901855,23.909320831298828,92.71546173095703,20.950000762939453,1.815000057220459,0.017999999225139618,49.286651611328125,82.0886459350586
2015-01-18,210.33900451660156,30.918779373168945,51.89919662475586,122.5199966430664,14.958598136901855,23.909320831298828,92.71546173095703,20.950000762939453,1.815000057220459,0.017999999225139618,49.286651611328125,82.0886459350586
2015-01-19,214.86099243164062,30.918779373168945,51.89919662475586,122.5199966430664,14.958598136901855,23.909320831298828,92.71546173095703,20.950000762939453,1.815000057220459,0.017999999225139618,49.286651611328125,82.0886459350586
2015-01-20,211.31500244140625,30.871795654296875,52.1358757019043,124.19999694824219,14.578295707702637,24.14560317993164,93.451171875,19.889999389648438,1.8070000410079956,0.00800000037997961,49.198585510253906,82.2779541015625
2015-01-21,226.89700317382812,31.552967071533203,52.23731231689453,124.2300033569336,14.606468200683594,24.45767593383789,93.92938232421875,18.850000381469727,1.8530000448226929,0.019999999552965164,49.4627571105957,82.24422454833984
2015-01-22,233.406005859375,32.15583801269531,53.074119567871094,125.2300033569336,14.451528549194336,24.676128387451172,95.66741943359375,16.399999618530273,1.8960000276565552,0.014999999664723873,49.528785705566406,82.20360565185547
2015-01-23,232.87899780273438,31.91312599182129,52.955787658691406,124.2300033569336,14.240249633789062,24.569133758544922,95.87895965576172,16.65999984741211,1.8170000314712524,0.013000000268220901,49.528785705566406,82.6836929321289
2015-01-24,247.8470001220703,31.91312599182129,52.955787658691406,124.2300033569336,14.240249633789062,24.569133758544922,95.87895965576172,16.65999984741211,1.8170000314712524,0.013000000268220901,49.528785705566406,82.6836929321289
2015-01-25,253.71800231933594,31.91312599182129,52.955787658691406,124.2300033569336,14.240249633789062,24.569133758544922,95.87895965576172,16.65999984741211,1.8170000314712524,0.013000000268220901,49.528785705566406,82.6836929321289
