Día,Valor,Drawdown,Régimen
168,10921.07,-3.40,EXPANSION
169,10925.70,-3.36,EXPANSION
170,10926.95,-3.35,EXPANSION
171,10930.30,-3.32,EXPANSION
172,10958.91,-3.06,EXPANSION
173,11142.30,-1.44,EXPANSION
174,11158.57,-1.30,EXPANSION
175,11244.26,-0.54,EXPANSION
176,11249.40,-0.49,EXPANSION
177,11211.17,-0.83,EXPANSION
178,11238.08,-0.59,EXPANSION
179,11297.16,-0.07,EXPANSION
180,11183.80,-1.07,EXPANSION
181,11198.33,-0.94,EXPANSION
182,11239.26,-0.58,EXPANSION
183,11358.71,0.00,EXPANSION
184,11322.19,-0.32,EXPANSION
185,11331.23,-0.24,EXPANSION
186,11282.33,-0.67,EXPANSION
187,11261.82,-0.85,EXPANSION
188,11415.28,0.00,EXPANSION
189,11521.68,0.00,EXPANSION
190,11513.78,-0.07,EXPANSION
191,11517.02,-0.04,EXPANSION
192,11528.98,0.00,EXPANSION
193,11522.28,-0.06,EXPANSION
194,11532.88,0.00,EXPANSION
195,11378.69,-1.34,EXPANSION
196,11356.71,-1.53,EXPANSION
197,11359.46,-1.50,EXPANSION
198,11362.15,-1.48,EXPANSION
199,11393.02,-1.21,EXPANSION
200,11404.95,-1.11,EXPANSION
201,11513.82,-0.17,EXPANSION
202,11550.78,0.00,EXPANSION
203,11554.54,0.00,EXPANSION
204,11592.93,0.00,EXPANSION
205,11603.33,0.00,EXPANSION
206,11603.44,0.00,EXPANSION
207,11532.64,-0.61,EXPANSION
208,11482.72,-1.04,EXPANSION
209,11564.21,-0.34,EXPANSION
210,11490.48,-0.97,EXPANSION
211,11534.10,-0.60,EXPANSION
212,11530.78,-0.63,EXPANSION
213,11538.40,-0.56,EXPANSION
214,11614.62,0.00,EXPANSION
215,11735.95,0.00,EXPANSION
216,11804.26,0.00,EXPANSION
217,11758.20,-0.39,EXPANSION
218,11767.17,-0.31,EXPANSION
219,11770.19,-0.29,EXPANSION
220,11759.03,-0.38,EXPANSION
221,11772.93,-0.27,EXPANSION
222,11856.97,0.00,EXPANSION
223,11854.23,-0.02,EXPANSION
224,11842.71,-0.12,EXPANSION
225,11768.69,-0.74,EXPANSION
226,11784.14,-0.61,EXPANSION
227,11812.01,-0.38,EXPANSION
228,11793.76,-0.53,EXPANSION
229,11835.11,-0.18,EXPANSION
230,11794.06,-0.53,EXPANSION
231,11772.94,-0.71,EXPANSION
232,11750.57,-0.90,EXPANSION
233,11728.04,-1.09,EXPANSION
234,11740.02,-0.99,EXPANSION
235,11739.84,-0.99,EXPANSION
236,11635.51,-1.87,EXPANSION
237,11526.73,-2.79,EXPANSION
238,11533.60,-2.73,EXPANSION
239,11623.91,-1.97,EXPANSION
240,11620.44,-1.99,EXPANSION
241,11620.48,-1.99,EXPANSION
242,11548.36,-2.60,EXPANSION
243,11611.81,-2.07,EXPANSION
244,11583.08,-2.31,EXPANSION
245,11537.15,-2.70,EXPANSION
246,11508.50,-2.94,EXPANSION
247,11508.50,-2.94,EXPANSION
248,11514.67,-2.89,EXPANSION
249,11612.79,-2.06,EXPANSION
250,11555.08,-2.55,EXPANSION
251,11497.15,-3.03,EXPANSION
252,11365.12,-4.15,EXPANSION
253,11479.36,-3.18,EXPANSION
254,11481.68,-3.17,EXPANSION
255,11464.21,-3.31,EXPANSION
256,11489.09,-3.10,EXPANSION
257,11578.27,-2.35,EXPANSION
258,11637.29,-1.85,EXPANSION
259,11674.77,-1.54,EXPANSION
260,11773.94,-0.70,EXPANSION
261,12019.35,0.00,EXPANSION
262,12004.29,-0.13,EXPANSION
263,12034.65,0.00,EXPANSION
264,12039.11,0.00,EXPANSION
265,12070.35,0.00,EXPANSION
266,12116.94,0.00,EXPANSION
267,12320.32,0.00,EXPANSION
268,12333.66,0.00,EXPANSION
269,12342.11,0.00,EXPANSION
270,12459.22,0.00,EXPANSION
271,12474.35,0.00,EXPANSION
272,12542.05,0.00,EXPANSION
273,12509.25,-0.26,EXPANSION
274,12392.12,-1.20,EXPANSION
275,12501.63,-0.32,EXPANSION
276,12739.05,0.00,EXPANSION
277,12780.47,0.00,EXPANSION
278,12681.34,-0.78,EXPANSION
279,12725.42,-0.43,EXPANSION
280,12935.03,0.00,EXPANSION
281,12881.76,-0.41,EXPANSION
282,12903.72,-0.24,EXPANSION
283,12926.20,-0.07,EXPANSION
284,12929.31,-0.04,EXPANSION
285,12701.28,-1.81,EXPANSION
286,12442.98,-3.80,EXPANSION
287,12681.62,-1.96,EXPANSION
288,12511.34,-3.28,EXPANSION
289,12510.76,-3.28,EXPANSION
290,12393.45,-4.19,EXPANSION
291,12306.62,-4.86,EXPANSION
292,12456.11,-3.70,EXPANSION
293,12597.96,-2.61,EXPANSION
294,12851.08,-0.65,EXPANSION
295,12909.60,-0.20,EXPANSION
296,13000.85,0.00,EXPANSION
297,12855.71,-1.12,EXPANSION
298,12940.82,-0.46,EXPANSION
299,12804.40,-1.51,EXPANSION
300,12858.99,-1.09,EXPANSION
301,12742.38,-1.99,EXPANSION
302,12999.56,-0.01,EXPANSION
303,12946.62,-0.42,EXPANSION
304,12941.07,-0.46,EXPANSION
305,12965.58,-0.27,EXPANSION
306,13104.34,0.00,EXPANSION
307,13079.87,-0.19,EXPANSION
308,13152.30,0.00,EXPANSION
309,13139.88,-0.09,EXPANSION
310,13131.28,-0.16,EXPANSION
311,13196.07,0.00,EXPANSION
312,13259.38,0.00,EXPANSION
313,13221.49,-0.29,EXPANSION
314,13242.10,-0.13,EXPANSION
315,13223.11,-0.27,EXPANSION
316,13211.54,-0.36,EXPANSION
317,13223.99,-0.27,EXPANSION
318,13238.36,-0.16,EXPANSION
319,13164.52,-0.72,EXPANSION
320,13233.20,-0.20,EXPANSION
321,13292.82,0.00,EXPANSION
322,13249.37,-0.33,EXPANSION
323,13288.59,-0.03,EXPANSION
324,13283.70,-0.07,EXPANSION
325,13207.17,-0.64,EXPANSION
326,13152.65,-1.05,EXPANSION
