Día,Valor,Drawdown,Régimen
168,10355.92,-4.42,EXPANSION
169,10364.16,-4.35,EXPANSION
170,10365.47,-4.33,EXPANSION
171,10368.99,-4.30,EXPANSION
172,10394.93,-4.06,EXPANSION
173,10581.20,-2.34,EXPANSION
174,10593.53,-2.23,EXPANSION
175,10668.28,-1.54,EXPANSION
176,10675.68,-1.47,EXPANSION
177,10635.55,-1.84,EXPANSION
178,10663.78,-1.58,EXPANSION
179,10718.53,-1.08,EXPANSION
180,10606.96,-2.11,EXPANSION
181,10627.29,-1.92,EXPANSION
182,10662.70,-1.59,EXPANSION
183,10789.93,-0.42,EXPANSION
184,10751.55,-0.77,EXPANSION
185,10761.05,-0.68,EXPANSION
186,10719.12,-1.07,EXPANSION
187,10694.81,-1.29,EXPANSION
188,10836.92,0.00,EXPANSION
189,10834.51,-0.02,EXPANSION
190,10829.19,-0.07,EXPANSION
191,10832.81,-0.04,EXPANSION
192,10846.17,0.00,EXPANSION
193,10844.36,-0.02,EXPANSION
194,10855.00,0.00,EXPANSION
195,10717.81,-1.26,EXPANSION
196,10696.58,-1.46,EXPANSION
197,10699.66,-1.43,EXPANSION
198,10702.67,-1.40,EXPANSION
199,10737.20,-1.09,EXPANSION
200,10745.41,-1.01,EXPANSION
201,10838.87,-0.15,EXPANSION
202,10887.59,0.00,EXPANSION
203,10887.06,-0.00,EXPANSION
204,10925.39,0.00,EXPANSION
205,10937.03,0.00,EXPANSION
206,10937.16,0.00,EXPANSION
207,10868.81,-0.62,EXPANSION
208,10806.98,-1.19,EXPANSION
209,10891.78,-0.41,EXPANSION
210,10802.74,-1.23,EXPANSION
211,10850.62,-0.79,EXPANSION
212,10846.92,-0.83,EXPANSION
213,10855.43,-0.75,EXPANSION
214,10923.82,-0.12,EXPANSION
215,11038.29,0.00,EXPANSION
216,11122.52,0.00,EXPANSION
217,11081.51,-0.37,EXPANSION
218,11082.68,-0.36,EXPANSION
219,11086.06,-0.33,EXPANSION
220,11073.57,-0.44,EXPANSION
221,11089.20,-0.30,EXPANSION
222,11162.23,0.00,EXPANSION
223,11168.20,0.00,EXPANSION
224,11155.87,-0.11,EXPANSION
225,11090.85,-0.69,EXPANSION
226,11108.14,-0.54,EXPANSION
227,11139.34,-0.26,EXPANSION
228,11117.81,-0.45,EXPANSION
229,11166.43,-0.02,EXPANSION
230,11121.11,-0.42,EXPANSION
231,11077.59,-0.81,EXPANSION
232,11037.59,-1.17,EXPANSION
233,11012.45,-1.39,EXPANSION
234,11025.81,-1.28,EXPANSION
235,11022.46,-1.31,EXPANSION
236,10917.50,-2.24,EXPANSION
237,10809.27,-3.21,EXPANSION
238,10818.67,-3.13,EXPANSION
239,10903.07,-2.37,EXPANSION
240,10899.20,-2.41,EXPANSION
241,10899.24,-2.41,EXPANSION
242,10841.02,-2.93,EXPANSION
243,10901.73,-2.39,EXPANSION
244,10871.16,-2.66,EXPANSION
245,10824.05,-3.08,EXPANSION
246,10792.32,-3.37,EXPANSION
247,10792.32,-3.37,EXPANSION
248,10799.19,-3.30,EXPANSION
249,10898.28,-2.42,EXPANSION
250,10839.30,-2.95,EXPANSION
251,10804.04,-3.26,EXPANSION
252,10572.62,-5.33,EXPANSION
253,10682.20,-4.35,EXPANSION
254,10684.04,-4.34,EXPANSION
255,10670.20,-4.46,EXPANSION
256,10691.57,-4.27,EXPANSION
257,10769.58,-3.57,EXPANSION
258,10825.44,-3.07,EXPANSION
259,10861.65,-2.74,EXPANSION
260,10938.76,-2.05,EXPANSION
261,11132.85,-0.32,EXPANSION
262,11120.97,-0.42,EXPANSION
263,11144.92,-0.21,EXPANSION
264,11152.98,-0.14,EXPANSION
265,11178.63,0.00,EXPANSION
266,11227.82,0.00,EXPANSION
267,11413.52,0.00,EXPANSION
268,11424.04,0.00,EXPANSION
269,11430.71,0.00,EXPANSION
270,11540.79,0.00,EXPANSION
271,11568.79,0.00,EXPANSION
272,11632.61,0.00,EXPANSION
273,11602.42,-0.26,EXPANSION
274,11479.76,-1.31,EXPANSION
275,11566.11,-0.57,EXPANSION
276,11753.09,0.00,EXPANSION
277,11773.28,0.00,EXPANSION
278,11685.22,-0.75,EXPANSION
279,11729.22,-0.37,EXPANSION
280,11883.83,0.00,EXPANSION
281,11848.81,-0.29,EXPANSION
282,11866.00,-0.15,EXPANSION
283,11883.60,-0.00,EXPANSION
284,11904.91,0.00,EXPANSION
285,11724.67,-1.51,EXPANSION
286,11518.28,-3.25,EXPANSION
287,11733.95,-1.44,EXPANSION
288,11537.91,-3.08,EXPANSION
289,11537.46,-3.09,EXPANSION
290,11445.37,-3.86,EXPANSION
291,11347.23,-4.68,EXPANSION
292,11498.84,-3.41,EXPANSION
293,11640.85,-2.22,EXPANSION
294,11862.07,-0.36,EXPANSION
295,11919.19,0.00,EXPANSION
296,11990.91,0.00,EXPANSION
297,11876.96,-0.95,EXPANSION
298,11943.89,-0.39,EXPANSION
299,11812.77,-1.49,EXPANSION
300,11856.36,-1.12,EXPANSION
301,11764.26,-1.89,EXPANSION
302,11997.85,0.00,EXPANSION
303,11956.25,-0.35,EXPANSION
304,11951.89,-0.38,EXPANSION
305,11977.94,-0.17,EXPANSION
306,12107.44,0.00,EXPANSION
307,12090.25,-0.14,EXPANSION
308,12161.55,0.00,EXPANSION
309,12144.33,-0.14,EXPANSION
310,12137.56,-0.20,EXPANSION
311,12188.54,0.00,EXPANSION
312,12256.80,0.00,EXPANSION
313,12215.22,-0.34,EXPANSION
314,12237.34,-0.16,EXPANSION
315,12092.94,-1.34,EXPANSION
316,12075.13,-1.48,EXPANSION
317,12088.22,-1.38,EXPANSION
318,12103.31,-1.25,EXPANSION
319,12029.31,-1.86,EXPANSION
320,12104.88,-1.24,EXPANSION
321,12161.16,-0.78,EXPANSION
322,12116.28,-1.15,EXPANSION
323,12153.98,-0.84,EXPANSION
324,12148.84,-0.88,EXPANSION
325,12068.39,-1.54,EXPANSION
326,12009.79,-2.02,EXPANSION
327,11792.98,-3.78,EXPANSION
328,11877.15,-3.10,EXPANSION
329,11941.68,-2.57,EXPANSION
330,11977.00,-2.28,EXPANSION
331,12014.89,-1.97,EXPANSION
332,12029.24,-1.86,EXPANSION
333,12050.99,-1.68,EXPANSION
334,12067.05,-1.55,EXPANSION
335,12076.74,-1.47,EXPANSION
