Día,Valor,Drawdown,Régimen
168,10219.55,-4.09,EXPANSION
169,10226.62,-4.03,EXPANSION
170,10227.75,-4.02,EXPANSION
171,10230.77,-3.99,EXPANSION
172,10253.04,-3.78,EXPANSION
173,10412.95,-2.28,EXPANSION
174,10423.51,-2.18,EXPANSION
175,10487.53,-1.58,EXPANSION
176,10493.86,-1.52,EXPANSION
177,10459.52,-1.84,EXPANSION
178,10483.69,-1.61,EXPANSION
179,10530.54,-1.18,EXPANSION
180,10435.13,-2.07,EXPANSION
181,10452.54,-1.91,EXPANSION
182,10482.85,-1.62,EXPANSION
183,10591.71,-0.60,EXPANSION
184,10558.93,-0.91,EXPANSION
185,10567.05,-0.83,EXPANSION
186,10531.21,-1.17,EXPANSION
187,10510.43,-1.36,EXPANSION
188,10631.97,-0.22,EXPANSION
189,10600.88,-0.51,EXPANSION
190,10597.20,-0.55,EXPANSION
191,10600.23,-0.52,EXPANSION
192,10611.42,-0.42,EXPANSION
193,10610.20,-0.43,EXPANSION
194,10618.76,-0.35,EXPANSION
195,10501.48,-1.45,EXPANSION
196,10483.34,-1.62,EXPANSION
197,10485.92,-1.59,EXPANSION
198,10488.44,-1.57,EXPANSION
199,10517.40,-1.30,EXPANSION
200,10524.75,-1.23,EXPANSION
201,10605.04,-0.48,EXPANSION
202,10647.31,-0.08,EXPANSION
203,10646.74,-0.08,EXPANSION
204,10678.39,0.00,EXPANSION
205,10688.13,0.00,EXPANSION
206,10688.23,0.00,EXPANSION
207,10629.34,-0.55,EXPANSION
208,10574.78,-1.06,EXPANSION
209,10647.51,-0.38,EXPANSION
210,10570.14,-1.10,EXPANSION
211,10612.72,-0.71,EXPANSION
212,10609.62,-0.74,EXPANSION
213,10616.75,-0.67,EXPANSION
214,10675.84,-0.12,EXPANSION
215,10773.79,0.00,EXPANSION
216,10846.73,0.00,EXPANSION
217,10811.79,-0.32,EXPANSION
218,10811.92,-0.32,EXPANSION
219,10814.75,-0.29,EXPANSION
220,10804.32,-0.39,EXPANSION
221,10818.05,-0.26,EXPANSION
222,10881.25,0.00,EXPANSION
223,10885.56,0.00,EXPANSION
224,10873.80,-0.11,EXPANSION
225,10818.68,-0.61,EXPANSION
226,10833.11,-0.48,EXPANSION
227,10859.15,-0.24,EXPANSION
228,10840.24,-0.42,EXPANSION
229,10882.40,-0.03,EXPANSION
230,10845.50,-0.37,EXPANSION
231,10807.67,-0.72,EXPANSION
232,10773.64,-1.03,EXPANSION
233,10752.64,-1.22,EXPANSION
234,10763.80,-1.12,EXPANSION
235,10760.62,-1.15,EXPANSION
236,10668.82,-1.99,EXPANSION
237,10575.98,-2.84,EXPANSION
