Date,BTC-EUR,EMXC.DE,0P00000WLG.F,PPFB.DE,URNU.DE,VVSM.DE,XNAS.DE,^VIX,^TNX,^IRX,HYG,LQD,^MOVE,DX-Y.NYB,BTC_VOL
2022-04-22,36841.980469,22.184999,37.254501,34.903999,12.520000,21.365000,28.680000,28.209999,2.906000,0.780000,79.260002,113.419998,128.119995,101.220001,0.500000
2022-04-23,36606.882813,22.184999,37.254501,34.903999,12.520000,21.365000,28.680000,28.209999,2.906000,0.780000,79.260002,113.419998,128.119995,101.220001,0.500000
2022-04-24,36513.359375,22.184999,37.254501,34.903999,12.520000,21.365000,28.680000,28.209999,2.906000,0.780000,79.260002,113.419998,128.119995,101.220001,0.500000
2022-04-25,37765.523438,21.924999,37.429901,34.501999,11.804000,21.160000,28.320000,27.020000,2.826000,0.798000,79.930000,114.680000,131.630005,101.750000,0.500000
2022-04-26,35814.597656,21.905001,36.762798,34.818001,12.028000,20.754999,28.000000,33.520000,2.772000,0.833000,79.459999,114.620003,129.270004,102.300003,0.500000
2022-04-27,37180.769531,22.045000,37.184200,34.875999,12.060000,20.855000,28.355000,31.600000,2.818000,0.808000,79.070000,113.519997,130.110001,102.949997,0.500000
2022-04-28,37866.671875,22.245001,37.927299,35.018002,11.850000,21.280001,28.455000,29.990000,2.863000,0.785000,79.510002,113.860001,128.740005,103.620003,0.500000
2022-04-29,36618.867188,22.455000,36.922699,35.259998,12.300000,21.504999,28.520000,33.400002,2.887000,0.808000,78.529999,112.599998,128.399994,102.959999,0.500000
2022-04-30,35770.070313,22.455000,36.922699,35.259998,12.300000,21.504999,28.520000,33.400002,2.887000,0.808000,78.529999,112.599998,128.399994,102.959999,0.500000
2022-05-01,36515.671875,22.455000,36.922699,35.259998,12.300000,21.504999,28.520000,33.400002,2.887000,0.808000,78.529999,112.599998,128.399994,102.959999,0.500000
2022-05-02,36660.191406,22.145000,37.030399,34.585999,11.648000,21.145000,27.924999,32.340000,2.996000,0.765000,78.230003,111.680000,135.169998,103.739998,0.500000
2022-05-03,35865.914063,22.225000,37.154301,34.672001,11.990000,21.570000,28.264999,29.250000,2.960000,0.895000,78.639999,112.400002,126.459999,103.470001,0.500000
2022-05-04,37377.128906,21.930000,37.844601,34.495998,11.642000,21.190001,27.815001,25.420000,2.917000,0.833000,79.440002,113.500000,121.989998,102.589996,0.500000
2022-05-05,34702.277344,21.860001,36.853600,34.914001,11.674000,21.545000,27.975000,31.200001,3.066000,0.803000,78.029999,111.760002,122.720001,103.750000,0.500000
2022-05-06,34167.515625,21.625000,36.391899,34.827999,11.232000,21.320000,27.469999,30.190001,3.123000,0.815000,77.589996,110.809998,121.419998,103.660004,0.500000
2022-05-07,33656.562500,21.625000,36.391899,34.827999,11.232000,21.320000,27.469999,30.190001,3.123000,0.815000,77.589996,110.809998,121.419998,103.660004,0.500000
2022-05-08,32338.113281,21.625000,36.391899,34.827999,11.232000,21.320000,27.469999,30.190001,3.123000,0.815000,77.589996,110.809998,121.419998,103.660004,0.500000
2022-05-09,28681.095703,21.225000,35.383301,34.408001,10.460000,20.295000,26.525000,34.750000,3.079000,0.800000,76.769997,111.199997,125.220001,103.650002,0.500000
2022-05-10,29463.818359,21.065001,35.413200,34.136002,10.188000,20.270000,26.360001,32.990002,2.993000,0.878000,77.209999,111.669998,126.760002,103.919998,0.500000
2022-05-11,27527.039063,21.225000,35.080502,34.240002,10.430000,20.645000,26.520000,32.560001,2.921000,0.883000,76.750000,112.190002,118.050003,103.849998,0.500000
2022-05-12,27988.466797,21.055000,35.368500,34.400002,10.056000,20.285000,26.170000,31.770000,2.817000,0.905000,76.720001,112.239998,118.730003,104.849998,0.500000
2022-05-13,28124.664063,21.365000,36.260799,33.952000,10.534000,21.245001,26.969999,28.870001,2.935000,0.943000,76.809998,111.650002,114.610001,104.559998,0.500000
2022-05-14,28910.460938,21.365000,36.260799,33.952000,10.534000,21.245001,26.969999,28.870001,2.935000,0.943000,76.809998,111.650002,114.610001,104.559998,0.500000
2022-05-15,30106.001953,21.365000,36.260799,33.952000,10.534000,21.245001,26.969999,28.870001,2.935000,0.943000,76.809998,111.650002,114.610001,104.559998,0.500000
2022-05-16,28606.675781,21.285000,36.132599,33.959999,10.416000,21.000000,26.680000,27.469999,2.877000,0.980000,76.699997,111.800003,117.949997,104.190002,0.500000
2022-05-17,28842.556641,21.510000,36.384998,33.716000,10.770000,21.620001,26.940001,26.100000,2.968000,1.038000,76.629997,111.160004,119.459999,103.360001,0.500000
2022-05-18,27422.689453,21.360001,35.379700,33.765999,10.598000,21.225000,26.309999,30.959999,2.886000,1.003000,76.000000,111.570000,114.860001,103.809998,0.500000
