ticker,sector,action,entry_price,stop_loss,take_profit,rr_ratio,shares,size_eur,risk_eur,weight_pct,score,quintile,confidence,z_score,viable,remaining_cash_after,notes
BNY,,AVOID,142.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,1,MED,1.19,,,SHORT/SKIP | z=1.2
TMO,,AVOID,474.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,1,MED,1.13,,,SHORT/SKIP | z=1.1
MCK,,AVOID,772.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,1,MED,1.13,,,SHORT/SKIP | z=1.1
COST,,AVOID,975.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,1,MED,1.12,,,SHORT/SKIP | z=1.1
ROST,,AVOID,230.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,1,MED,1.11,,,SHORT/SKIP | z=1.1
SBUX,,AVOID,95.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,1,MED,1.11,,,SHORT/SKIP | z=1.1
D,,AVOID,66.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,1,MED,1.11,,,SHORT/SKIP | z=1.1
LLY,,AVOID,1173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,1,MED,1.11,,,SHORT/SKIP | z=1.1
MSCI,,AVOID,607.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,1,MED,1.1,,,SHORT/SKIP | z=1.1
CTAS,,AVOID,177.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,1,MED,1.1,,,SHORT/SKIP | z=1.1
BLK,,AVOID,997.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1,MED,1.08,,,SHORT/SKIP | z=1.1
NTRS,,AVOID,170.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,1,MED,1.07,,,SHORT/SKIP | z=1.1
JNJ,,AVOID,232.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,1,MED,1.06,,,SHORT/SKIP | z=1.1
RTX,,AVOID,180.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,1,MED,1.03,,,SHORT/SKIP | z=1.0
UHS,,AVOID,141.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,1,MED,1.0,,,SHORT/SKIP | z=1.0
