ticker,entry_date,exit_date,entry_price,exit_price,return_pct,pnl_eur,reason
AAPL,2023-05-05,2023-06-15,168.38,183.55,8.86,88.56,TP
AAPL,2024-06-10,2024-06-10,195.21,192.22,-1.68,-16.83,SL
AAPL,2024-06-12,2024-07-24,205.59,217.88,5.83,58.29,SL
AAPL,2024-12-10,2024-12-24,245.32,254.04,3.40,34.03,TP
AAPL,2025-11-05,2025-11-05,267.85,267.53,-0.27,-2.69,SL
AAPL,2025-11-07,2025-11-07,269.04,267.52,-0.71,-7.13,SL
AAPL,2025-12-22,2025-12-31,272.35,271.36,-0.52,-5.16,EOD
ADI,2020-06-03,2020-07-23,107.24,101.10,-5.88,-58.77,SL
ADI,2020-07-27,2020-08-11,102.07,106.87,4.55,45.52,TP
ADI,2020-10-08,2020-10-29,108.78,105.05,-3.57,-35.72,SL
ADI,2020-10-30,2020-11-04,106.40,110.41,3.62,36.19,TP
ADI,2021-01-07,2021-01-27,138.32,137.56,-0.70,-7.01,SL
ADI,2021-06-22,2021-06-24,150.26,153.60,2.08,20.77,TP
ADI,2021-06-25,2021-07-08,153.92,148.97,-3.37,-33.67,SL
ADI,2021-07-09,2021-07-14,150.64,154.82,2.62,26.22,TP
ADI,2021-08-05,2021-08-12,159.46,153.50,-3.89,-38.93,SL
ADI,2021-08-16,2021-08-17,155.85,152.79,-2.11,-21.13,OB_Inv
ADI,2021-10-07,2021-10-26,154.48,167.13,8.04,80.38,TP
ADI,2022-06-08,2022-06-09,155.09,151.11,-2.71,-27.12,OB_Inv
ADI,2022-07-28,2022-08-22,157.75,153.82,-2.64,-26.43,SL
ADI,2022-12-01,2022-12-22,162.74,154.09,-5.46,-54.64,SL
ADI,2022-12-27,2022-12-27,154.37,153.47,-0.73,-7.29,SL
ADI,2023-02-13,2023-02-14,169.29,172.05,1.48,14.82,TP
ADI,2023-02-15,2023-04-25,183.41,172.77,-5.95,-59.49,SL
ADI,2023-12-01,2023-12-13,175.77,184.05,4.56,45.60,TP
ADI,2024-03-18,2024-03-19,190.55,182.15,-4.56,-45.59,SL
ADI,2024-03-20,2024-03-20,184.03,187.76,1.88,18.78,TP
ADI,2024-03-21,2024-03-26,189.99,182.58,-4.05,-40.51,OB_Inv
ADI,2024-03-28,2024-04-18,187.49,181.25,-3.48,-34.79,OB_Inv
ADI,2025-01-10,2025-01-10,212.76,210.25,-1.33,-13.31,SL
ADI,2025-07-02,2025-07-22,237.28,232.38,-2.22,-22.17,OB_Inv
ADI,2025-11-26,2025-12-31,252.84,269.61,6.49,64.87,EOD
ADM,2020-06-01,2020-06-01,33.01,32.79,-0.81,-8.07,SL
ADM,2020-06-03,2020-06-05,33.79,35.77,5.71,57.07,TP
ADM,2020-07-28,2020-07-28,35.59,35.90,0.74,7.41,TP
ADM,2020-07-29,2020-08-11,36.32,38.10,4.76,47.55,TP
ADM,2020-09-02,2020-09-03,38.50,39.45,2.32,23.16,TP
ADM,2020-09-10,2020-09-14,39.06,40.35,3.17,31.71,TP
ADM,2020-09-18,2020-09-18,40.44,40.69,0.47,4.66,TP
ADM,2020-09-23,2020-09-23,40.01,39.48,-1.46,-14.62,SL
ADM,2021-01-06,2021-01-27,43.94,42.53,-3.37,-33.71,OB_Inv
ADM,2021-04-26,2021-04-27,51.51,53.09,2.92,29.22,TP
ADM,2021-09-16,2021-09-20,54.61,52.60,-3.81,-38.14,SL
ADM,2022-02-28,2022-03-02,68.53,71.10,3.61,36.10,TP
ADM,2022-03-03,2022-03-09,72.10,71.27,-1.29,-12.90,SL
ADM,2022-04-28,2022-04-29,83.61,79.10,-5.55,-55.48,OB_Inv
ADM,2022-06-01,2022-06-01,80.64,77.96,-3.48,-34.77,SL
ADM,2022-09-02,2022-09-06,79.12,76.39,-3.60,-35.97,OB_Inv
ADM,2022-09-15,2022-09-15,76.69,76.08,-0.94,-9.39,SL
ADM,2022-10-26,2022-12-06,82.07,80.51,-2.05,-20.52,SL
ADM,2023-07-19,2023-07-25,73.37,77.97,6.11,61.13,TP
ADM,2023-07-26,2023-08-22,78.59,73.75,-6.31,-63.10,SL
ADM,2024-03-11,2024-03-12,50.57,51.75,2.18,21.82,TP
ADM,2024-03-18,2024-03-20,54.64,56.74,3.69,36.87,TP
ADM,2024-05-03,2024-05-08,54.84,57.24,4.22,42.24,TP
