ticker,py_score,pine_opp,hybrid,signal,n_signals,regime,passes,rr,rsi2,rsi14,entry,blood,mom,mr,ob,sec,rs_spy,rs_sec,mtf,exh,exh_blk
SAP,50.0,0,20.0,NONE,0,UP,False,2.48,54.7,39.6,EARLY,,,,,,1.07,0.944,OK,0.0,
SAP.DE,50.0,0,20.0,NONE,0,UP,False,2.48,54.7,39.6,EARLY,,,,,,1.07,1.0,OK,0.0,
SHEL,50.0,0,20.0,NONE,0,UP,False,2.48,54.7,39.6,EARLY,,,,,,1.07,1.0,OK,0.0,
INTC,50.0,0,20.0,NONE,0,UP,False,2.48,40.0,53.3,EARLY,,,,,,3.156,1.758,OK,0.0,
VEOEY,50.0,0,20.0,NONE,0,DOWN,False,2.48,50.0,56.6,EARLY,,,,,,1.061,1.0,NO,25.0,
VIE.PA,50.0,0,20.0,NONE,0,UP,False,2.48,30.3,53.8,EARLY,,,,,,,1.0,OK,25.0,
VIS.MC,50.0,0,20.0,NONE,0,DOWN,False,2.48,50.0,69.1,EARLY,,,,,,0.875,1.0,OK,20.0,
CAT,50.0,0,20.0,NONE,0,UP,False,2.48,50.0,55.0,EARLY,,,,,,0.872,1.062,OK,0.0,
ACX.MC,50.0,0,20.0,NONE,0,UP,False,2.48,5.1,76.1,EARLY,,,,,,1.212,1.0,OK,25.0,
AAPL,50.0,0,20.0,NONE,0,UP,False,2.48,5.1,76.1,EARLY,,,,,,1.212,1.087,OK,25.0,
4GLD.DE,50.0,0,20.0,NONE,0,UP,False,2.48,5.1,76.1,EARLY,,,,,,1.212,1.0,OK,25.0,
ADDYY,50.0,0,20.0,NONE,0,UP,False,2.48,50.0,54.3,EARLY,,,,,,1.163,1.0,OK,0.0,
ACS.MC,50.0,0,20.0,NONE,0,UP,False,2.48,50.0,54.3,EARLY,,,,,,1.163,1.0,OK,0.0,
AENA.MC,50.0,0,20.0,NONE,0,UP,False,2.48,36.6,76.6,EARLY,,,,,,1.235,1.0,OK,25.0,
ADS.DE,50.0,0,20.0,NONE,0,UP,False,2.48,50.0,60.5,EARLY,,,,,,1.203,1.0,OK,35.0,
AI.PA,50.0,0,20.0,NONE,0,UP,False,2.48,36.6,76.6,EARLY,,,,,,1.235,1.0,OK,25.0,
AIQUY,50.0,0,20.0,NONE,0,UP,False,2.48,36.6,76.6,EARLY,,,,,,1.235,1.0,OK,25.0,
AIR.PA,50.0,0,20.0,NONE,0,UP,False,2.48,49.1,48.1,EARLY,,,,,,1.748,1.0,OK,0.0,
TGT,50.0,0,20.0,NONE,0,UP,False,2.48,50.0,64.3,EARLY,,,,,,1.295,1.0,OK,25.0,
