ticker,weight,score,sector
ADI,0.0093,93.6,Other
AIZ,0.0122,85.8,Other
AKAM,0.0084,87.9,Other
AMAT,0.0079,97.6,Other
AMD,0.0067,99.8,Tech
BAX,0.0078,81.5,Other
BBY,0.0078,83.9,Other
BEN,0.0109,93.5,Other
BNY,0.0138,87.7,Other
BXP,0.0099,82.2,Other
C,0.0105,88.8,Fin
CARR,0.0097,85.4,Other
CASY,0.0112,93.1,Other
CAT,0.0108,90.7,Indust
CDNS,0.0083,88.0,Other
CFG,0.0092,81.3,Other
CMI,0.0102,83.6,Other
CNC,0.0072,98.5,Other
COHR,0.0053,95.0,Other
CRWD,0.0077,95.1,Other
CSCO,0.0152,96.6,Other
CSX,0.0128,87.5,Other
CVS,0.0101,92.9,Other
DAL,0.0074,90.5,Other
DDOG,0.008,97.0,Other
DELL,0.0074,99.6,Other
DOC,0.0134,88.4,Other
DVA,0.0114,94.8,Other
EBAY,0.0091,83.0,Other
EEM,0.0156,82.4,Other
ELV,0.0102,92.7,Other
F,0.0088,85.0,Other
FDX,0.0093,85.6,Other
FFIV,0.0112,95.5,Other
FITB,0.0115,86.4,Other
FIX,0.0061,91.8,Other
FRT,0.0144,89.2,Other
FSLR,0.0053,84.1,Other
FTNT,0.0086,98.1,Other
GL,0.0123,86.7,Other
GLW,0.0093,87.3,Other
GNRC,0.0078,90.8,Other
GS,0.0107,91.0,Fin
GWW,0.0135,89.0,Other
HAL,0.0077,80.7,Other
HLT,0.0118,80.6,Other
HPE,0.0085,99.1,Other
HPQ,0.0087,83.7,Other
HST,0.0121,94.4,Other
HUM,0.0083,98.3,Other
IBKR,0.0085,92.3,Other
INTC,0.006,100.0,Other
INVH,0.0136,83.4,Other
IRM,0.0099,86.0,Other
IVZ,0.0085,84.3,Other
JBHT,0.0096,95.9,Other
JBL,0.009,96.1,Other
KEY,0.0088,80.2,Other
KEYS,0.0093,86.9,Other
KIM,0.0129,81.7,Other
KLAC,0.008,97.9,Other
LITE,0.0048,89.9,Other
LRCX,0.0074,97.2,Other
MAR,0.0119,90.1,Other
MAS,0.0101,82.1,Other
MCHP,0.0067,95.7,Other
MET,0.0118,88.6,Other
MGM,0.0083,91.2,Other
MNST,0.0126,87.1,Other
MPC,0.0094,84.5,Other
MPWR,0.006,93.8,Other
MS,0.011,91.6,Fin
MU,0.0061,99.3,Other
NTAP,0.0103,96.3,Other
NTRS,0.0117,89.3,Other
NUE,0.0096,97.4,Other
NXPI,0.0081,95.3,Other
ODFL,0.0092,93.3,Other
ON,0.0066,98.7,Other
PANW,0.0104,96.8,Other
PFG,0.0123,91.4,Other
PNC,0.0115,80.9,Other
PWR,0.0086,89.7,Other
QCOM,0.0085,92.0,Other
ROK,0.0096,84.7,Other
ROST,0.0115,80.4,Other
SLB,0.0096,88.2,Other
SPG,0.012,82.8,Other
STLD,0.0099,97.8,Other
STT,0.0127,94.0,Other
STX,0.008,99.4,Other
SWKS,0.007,86.2,Other
TER,0.0061,90.3,Other
TGT,0.0083,83.2,Other
TRGP,0.009,81.9,Other
TROW,0.0112,84.9,Other
TXN,0.0097,96.4,Other
UAL,0.0059,82.6,Other
UNH,0.0084,94.6,Health
URI,0.0097,94.2,Other
VTRS,0.0095,89.5,Other
WDC,0.0073,98.9,Other
WSM,0.0068,86.5,Other
WST,0.0067,92.5,Other
XLK,0.0123,92.1,Tech
